AnimalID,MomID,DadID,BGroup,DoB,Sex,Matril,Pedigree,SiblingNo,UniCode
R015,94,,U,1/1/1956,m,Q1096,2,1,K-343
KY,94,,U,4/15/1959,f,Q1096,2,2,J-991
i60094,94,,C,4/5/1960,m,Q1096,2,3,I-240
LM,94,,C,2/17/1961,f,Q1096,2,4,K-074
UP,94,,C,4/26/1962,m,Q1096,2,5,K-605
MR,94,,C,4/12/1963,f,Q1096,2,6,K-111
GH,94,,C,2/18/1964,f,Q1096,2,7,H-106
I6,94,,C,3/31/1965,m,Q1096,2,8,I-232
X1,94,,C,3/25/1966,m,Q1096,2,9,K-737
i67094,94,,C,5/25/1967,m,Q1096,2,10,I-388
i68094,94,,C,6/1/1968,m,Q1096,2,11,I-411
i76485,485,,J,3/7/1976,m,Q1095,2,1,I-703
815,485,,J,2/25/1977,m,Q1095,2,2,G-155
944,485,,J,2/28/1978,m,Q1095,2,3,E-055
A53,485,,J,4/10/1979,f,Q1095,2,4,G-418
B98,485,,J,3/16/1980,m,Q1095,2,5,G-561
E19,485,,J,1/31/1982,f,Q1095,2,6,G-806
G95,485,,J,2/7/1983,f,Q1095,2,7,H-094
653,472,,M,3/23/1975,m,Q1094,2,1,F-958
733,472,,M,4/6/1976,f,Q1094,2,2,D-161
848,472,,M,3/5/1977,m,Q1094,2,3,D-617
904,472,,M,3/21/1978,m,Q1094,2,4,G-260
990,472,,M,2/10/1979,f,Q1094,2,5,E-163
B82,472,,M,2/3/1980,f,Q1094,2,6,G-545
D62,472,,M,1/25/1981,m,Q1094,2,7,G-745
F11,472,669,M,2/1/1982,f,Q1094,2,8,E-711
F66,472,,M,3/21/1983,f,Q1094,2,9,G-952
R002,190,,U,1/1/1955,f,Q1093,2,1,K-331
S006,190,,U,3/27/1957,m,Q1093,2,2,K-392
S018,131,,U,1/1/1957,m,Q1092,2,1,K-405
KL,131,,U,2/15/1959,f,Q1092,2,2,J-980
IR,131,,E,3/26/1960,f,Q1092,2,3,J-782
i61131,131,,E,3/17/1961,m,Q1092,2,4,I-256
NZ,131,,E,3/31/1962,m,Q1092,2,5,K-233
MA,131,,E,3/14/1963,f,Q1092,2,6,K-096
OW,131,,E,5/1/1964,m,Q1092,2,7,K-315
i65131,131,,E,3/29/1965,f,Q1092,2,8,I-317
T6,131,,E,4/16/1966,m,Q1092,2,9,K-525
3F,131,,E,4/2/1967,f,Q1092,2,10,F-656
7T,131,,E,5/16/1968,m,Q1092,2,11,G-134
329,131,,E,2/20/1970,f,Q1092,2,12,B-369
403,131,,E,3/6/1971,m,Q1092,2,13,F-676
S014,130,,U,1/1/1957,m,Q1091,2,1,K-401
EQ,130,,U,3/18/1958,f,Q1091,2,2,G-891
BQ,130,,U,2/20/1959,f,Q1091,2,3,G-573
S013,129,,U,1/1/1957,f,Q1090,2,1,K-400
KV,129,,U,2/19/1959,m,Q1090,2,2,J-988
HV,129,,E,5/26/1960,m,Q1090,2,3,H-220
LW,129,,E,3/4/1961,f,Q1090,2,4,K-084
TI,129,,E,4/6/1962,f,Q1090,2,5,K-562
YF,129,,E,3/4/1963,f,Q1090,2,6,K-837
i64129,129,,E,2/11/1964,u,Q1090,2,7,I-301
i65129,129,,E,3/29/1965,f,Q1090,2,8,I-316
i66129,129,,E,2/24/1966,u,Q1090,2,9,I-340
S012,128,,U,1/1/1957,f,Q1089,2,1,K-399
EJ,128,,U,4/6/1958,m,Q1089,2,2,G-885
KJ,128,,U,4/8/1959,m,Q1089,2,3,J-978
IQ,128,,E,4/23/1960,f,Q1089,2,4,J-781
