AnimalID, Sex, Matril, BGroup, DateOfB, Pedigree
"S004","m","Q1083","U",1/1/1957 0:00:00,2
"AN","m","Q1083","U",3/15/1958 0:00:00,2
"CS","f","Q1083","U",4/17/1959 0:00:00,2
"i60116","m","Q1083","G",3/17/1960 0:00:00,2
"JU","m","Q1083","I",12/29/1960 0:00:00,2
"NU","f","Q1083","I",3/31/1962 0:00:00,2
"XC","f","Q1083","I",3/6/1963 0:00:00,2
"FI","m","Q1083","I",2/8/1964 0:00:00,2
"3H","m","Q1083","I",3/27/1967 0:00:00,2
"MF","m","Q1083","I",3/18/1963 0:00:00,3
"FH","f","Q1083","I",4/24/1964 0:00:00,3
"A4","f","Q1083","I",4/9/1965 0:00:00,3
"P3","f","Q1083","I",3/4/1966 0:00:00,3
"P9","m","Q1083","I",3/15/1966 0:00:00,3
"i67CS","f","Q1083","I",3/13/1967 0:00:00,3
"i67NU","m","Q1083","I",3/21/1967 0:00:00,3
"i68NU","f","Q1083","I",3/16/1968 0:00:00,3
"i68XC","f","Q1083","I",4/22/1968 0:00:00,3
"i68CS","u","Q1083","I",6/23/1968 0:00:00,3
"233","f","Q1083","I",2/19/1969 0:00:00,3
"232","m","Q1083","I",2/20/1969 0:00:00,3
"253","f","Q1083","I",3/13/1969 0:00:00,4
"263","f","Q1083","I",3/16/1969 0:00:00,3
"348","f","Q1083","I",3/3/1970 0:00:00,3
"373","m","Q1083","I",3/20/1970 0:00:00,4
"346","m","Q1083","I",3/21/1970 0:00:00,3
"446","f","Q1083","I",2/8/1971 0:00:00,3
"450","m","Q1083","I",3/8/1971 0:00:00,3
"445","m","Q1083","I",3/20/1971 0:00:00,4
"470","f","Q1083","I",5/7/1971 0:00:00,3
"496","f","Q1083","I",3/17/1972 0:00:00,4
"i72233","f","Q1083","I",3/25/1972 0:00:00,4
"501","f","Q1083","I",5/22/1972 0:00:00,3
"532","m","Q1083","I",2/3/1973 0:00:00,4
"558","f","Q1083","I",2/8/1973 0:00:00,3
"527","m","Q1083","I",2/16/1973 0:00:00,3
"i73253","m","Q1083","I",2/20/1973 0:00:00,5
"559","f","Q1083","I",2/28/1973 0:00:00,4
"i73FH","f","Q1083","I",3/3/1973 0:00:00,4
"529","m","Q1083","I",4/11/1973 0:00:00,3
"i74FH","f","Q1083","I",2/8/1974 0:00:00,4
"588","m","Q1083","I",3/3/1974 0:00:00,4
"583","m","Q1083","I",3/18/1974 0:00:00,3
"i74263","m","Q1083","I",3/21/1974 0:00:00,4
"589","f","Q1083","I",4/16/1974 0:00:00,4
"582","m","Q1083","I",5/16/1974 0:00:00,3
"i75FH","f","Q1083","I",3/5/1975 0:00:00,4
"638","m","Q1083","I",3/21/1975 0:00:00,4
"634","m","Q1083","I",3/23/1975 0:00:00,3
"678","f","Q1083","I",4/12/1975 0:00:00,4
"635","m","Q1083","I",4/19/1975 0:00:00,4
"i75496","f","Q1083","I",5/10/1975 0:00:00,5
"741","f","Q1083","I",3/19/1976 0:00:00,3
"748","m","Q1083","I",3/29/1976 0:00:00,4
"750","m","Q1083","I",4/4/1976 0:00:00,3
"749","m","Q1083","I",4/11/1976 0:00:00,4
"744","m","Q1083","I",4/27/1976 0:00:00,4
"743","m","Q1083","I",5/4/1976 0:00:00,4
"798","f","Q1083","I",2/4/1977 0:00:00,4
"806","m","Q1083","I",3/3/1977 0:00:00,3
"805","f","Q1083","I",4/9/1977 0:00:00,4
"803","f","Q1083","I",4/11/1977 0:00:00,4
"869","f","Q1083","I",5/16/1977 0:00:00,4
"893","f","Q1083","I",1/30/1978 0:00:00,4
"i78558","f","Q1083","I",1/31/1978 0:00:00,4
"894","m","Q1083","I",2/10/1978 0:00:00,5
"896","f","Q1083","I",2/26/1978 0:00:00,4
"897","f","Q1083","I",3/4/1978 0:00:00,4
"i78FH","f","Q1083","I",3/11/1978 0:00:00,4
"i78348","f","Q1083","I",3/12/1978 0:00:00,4
"895","m","Q1083","I",3/27/1978 0:00:00,3
"953","f","Q1083","II",4/8/1978 0:00:00,4
"i78NU","f","Q1083","I",4/19/1978 0:00:00,3
"i79558","f","Q1083","I",12/22/1978 0:00:00,4
"A45","m","Q1083","I",1/29/1979 0:00:00,4
"A41","f","Q1083","I",2/7/1979 0:00:00,4
"A42","m","Q1083","I",2/10/1979 0:00:00,4
"A32","m","Q1083","I",3/30/1979 0:00:00,4
"i79NU","f","Q1083","I",4/14/1979 0:00:00,3
"A39","m","Q1083","I",5/5/1979 0:00:00,4
"B13","f","Q1083","I",12/25/1979 0:00:00,4
"i80470","m","Q1083","I",1/20/1980 0:00:00,4
"B10","f","Q1083","II",1/23/1980 0:00:00,4
"B73","f","Q1083","I",2/7/1980 0:00:00,4
"B11","f","Q1083","I",3/8/1980 0:00:00,4
"C09","m","Q1083","I",4/3/1980 0:00:00,4
"B64","f","Q1083","I",4/14/1980 0:00:00,4
"C17","f","Q1083","I",4/14/1980 0:00:00,3
"C12","f","Q1083","II",5/12/1980 0:00:00,4
"C53","m","Q1083","I",12/31/1980 0:00:00,5
"D11","m","Q1083","I",1/13/1981 0:00:00,5
"i81558","f","Q1083","I",1/15/1981 0:00:00,4
"C56","m","Q1083","I",1/23/1981 0:00:00,4
"C54","m","Q1083","I",1/24/1981 0:00:00,4
"D53","m","Q1083","I",1/26/1981 0:00:00,4
"D55","m","Q1083","I",2/12/1981 0:00:00,5
"D52","m","Q1083","I",3/27/1981 0:00:00,5
"D25","m","Q1083","I",5/5/1981 0:00:00,4
"C55","m","Q1083","I",5/15/1981 0:00:00,4
"D71","m","Q1083","II",6/4/1981 0:00:00,4
"i82NU","u","Q1083","I",1/8/1982 0:00:00,3
"D89","f","Q1083","I",1/17/1982 0:00:00,4
"F33","f","Q1083","I",1/21/1982 0:00:00,4
"D98","f","Q1083","I",1/23/1982 0:00:00,5
"i82678","f","Q1083","I",1/23/1982 0:00:00,5
"E55","f","Q1083","I",1/25/1982 0:00:00,4
"D81","f","Q1083","I",2/2/1982 0:00:00,5
