AnimalId,DoB,Gender,BGrp,DadId,MomId,FounderId,UniCode
"R015",1/1/1956 0:00:00,"m","U",,"094","Q1096","K-343"
"KY",4/15/1959 0:00:00,"f","U",,"094","Q1096","J-991"
"i60094",4/5/1960 0:00:00,"m","C",,"094","Q1096","I-240"
"LM",2/17/1961 0:00:00,"f","C",,"094","Q1096","K-074"
"UP",4/26/1962 0:00:00,"m","C",,"094","Q1096","K-605"
"MR",4/12/1963 0:00:00,"f","C",,"094","Q1096","K-111"
"GH",2/18/1964 0:00:00,"f","C",,"094","Q1096","H-106"
"I6",3/31/1965 0:00:00,"m","C",,"094","Q1096","I-232"
"X1",3/25/1966 0:00:00,"m","C",,"094","Q1096","K-737"
"i67094",5/25/1967 0:00:00,"m","C",,"094","Q1096","I-388"
"i68094",6/1/1968 0:00:00,"m","C",,"094","Q1096","I-411"
"i76485",3/7/1976 0:00:00,"m","J",,"485","Q1095","I-703"
"815",2/25/1977 0:00:00,"m","J",,"485","Q1095","G-155"
"944",2/28/1978 0:00:00,"m","J",,"485","Q1095","E-055"
"A53",4/10/1979 0:00:00,"f","J",,"485","Q1095","G-418"
"B98",3/16/1980 0:00:00,"m","J",,"485","Q1095","G-561"
"E19",1/31/1982 0:00:00,"f","J",,"485","Q1095","G-806"
"G95",2/7/1983 0:00:00,"f","J",,"485","Q1095","H-094"
"653",3/23/1975 0:00:00,"m","M",,"472","Q1094","F-958"
"733",4/6/1976 0:00:00,"f","M",,"472","Q1094","D-161"
"848",3/5/1977 0:00:00,"m","M",,"472","Q1094","D-617"
"904",3/21/1978 0:00:00,"m","M",,"472","Q1094","G-260"
"990",2/10/1979 0:00:00,"f","M",,"472","Q1094","E-163"
"B82",2/3/1980 0:00:00,"f","M",,"472","Q1094","G-545"
"D62",1/25/1981 0:00:00,"m","M",,"472","Q1094","G-745"
"F11",2/1/1982 0:00:00,"f","M","669","472","Q1094","E-711"
"F66",3/21/1983 0:00:00,"f","M",,"472","Q1094","G-952"
"R002",1/1/1955 0:00:00,"f","U",,"190","Q1093","K-331"
"S006",3/27/1957 0:00:00,"m","U",,"190","Q1093","K-392"
"S018",1/1/1957 0:00:00,"m","U",,"131","Q1092","K-405"
"KL",2/15/1959 0:00:00,"f","U",,"131","Q1092","J-980"
"IR",3/26/1960 0:00:00,"f","E",,"131","Q1092","J-782"
"i61131",3/17/1961 0:00:00,"m","E",,"131","Q1092","I-256"
"NZ",3/31/1962 0:00:00,"m","E",,"131","Q1092","K-233"
"MA",3/14/1963 0:00:00,"f","E",,"131","Q1092","K-096"
"OW",5/1/1964 0:00:00,"m","E",,"131","Q1092","K-315"
"i65131",3/29/1965 0:00:00,"f","E",,"131","Q1092","I-317"
"T6",4/16/1966 0:00:00,"m","E",,"131","Q1092","K-525"
"3F",4/2/1967 0:00:00,"f","E",,"131","Q1092","F-656"
"7T",5/16/1968 0:00:00,"m","E",,"131","Q1092","G-134"
"329",2/20/1970 0:00:00,"f","E",,"131","Q1092","B-369"
"403",3/6/1971 0:00:00,"m","E",,"131","Q1092","F-676"
"S014",1/1/1957 0:00:00,"m","U",,"130","Q1091","K-401"
"EQ",3/18/1958 0:00:00,"f","U",,"130","Q1091","G-891"
"BQ",2/20/1959 0:00:00,"f","U",,"130","Q1091","G-573"
"S013",1/1/1957 0:00:00,"f","U",,"129","Q1090","K-400"
"KV",2/19/1959 0:00:00,"m","U",,"129","Q1090","J-988"
"HV",5/26/1960 0:00:00,"m","E",,"129","Q1090","H-220"
"LW",3/4/1961 0:00:00,"f","E",,"129","Q1090","K-084"
"TI",4/6/1962 0:00:00,"f","E",,"129","Q1090","K-562"
"YF",3/4/1963 0:00:00,"f","E",,"129","Q1090","K-837"
"i64129",2/11/1964 0:00:00,"u","E",,"129","Q1090","I-301"
"i65129",3/29/1965 0:00:00,"f","E",,"129","Q1090","I-316"
"i66129",2/24/1966 0:00:00,"u","E",,"129","Q1090","I-340"
"S012",1/1/1957 0:00:00,"f","U",,"128","Q1089","K-399"
"EJ",4/6/1958 0:00:00,"m","U",,"128","Q1089","G-885"
"KJ",4/8/1959 0:00:00,"m","U",,"128","Q1089","J-978"
"IQ",4/23/1960 0:00:00,"f","E",,"128","Q1089","J-781"
"LE",4/17/1961 0:00:00,"f","E",,"128","Q1089","K-066"
"TJ",4/19/1962 0:00:00,"m","E",,"128","Q1089","K-563"
"YS",5/5/1963 0:00:00,"f","E",,"128","Q1089","K-850"
"GF",5/14/1964 0:00:00,"m","E",,"128","Q1089","H-104"
"F3",4/29/1965 0:00:00,"m","E",,"128","Q1089","G-921"
"i66128",5/18/1966 0:00:00,"m","E",,"128","Q1089","I-339"
"5G",4/11/1967 0:00:00,"f","E",,"128","Q1089","F-892"
"9E",6/21/1968 0:00:00,"m","E",,"128","Q1089","G-345"
"374",3/6/1970 0:00:00,"f","E",,"128","Q1089","F-625"
"AV",1/1/1958 0:00:00,"m","U",,"122","Q1088","G-470"
"EG",5/22/1959 0:00:00,"m","U",,"122","Q1088","G-883"
"i61122",2/25/1961 0:00:00,"f","I",,"122","Q1088","I-255"
"014",1/1/1955 0:00:00,"m","U",,"119","Q1086","F-380"
"S007",1/1/1957 0:00:00,"m","U",,"119","Q1086","K-393"
"DW",3/26/1958 0:00:00,"m","U",,"119","Q1086","G-786"
"EY",3/13/1959 0:00:00,"m","U",,"119","Q1086","G-896"
"T",3/11/1960 0:00:00,"m","A",,"119","Q1086","K-475"
"i61119",2/24/1961 0:00:00,"f","A",,"119","Q1086","I-254"
"UG",3/1/1962 0:00:00,"f","A",,"119","Q1086","K-596"
"XH",3/1/1963 0:00:00,"f","A",,"119","Q1086","K-803"
"GI",2/20/1964 0:00:00,"f","A",,"119","Q1086","H-107"
"I7",5/7/1965 0:00:00,"m","A",,"119","Q1086","I-510"
"P2",4/22/1966 0:00:00,"m","A",,"119","Q1086","K-321"
"2U",3/23/1967 0:00:00,"m","A",,"119","Q1086","F-554"
"7A",4/12/1968 0:00:00,"f","A",,"119","Q1086","G-119"
"S005",1/1/1957 0:00:00,"m","U",,"117","Q1084","K-391"
