AnimalID,F1,F2,F3,F4,F5,F6,F7,F8,C1,C2,C3,C4,Sex,Matril,EAAD
"116",88.05,54.84,63.49,88.90,,,,58.19,3.00,3.00,3.00,3.00,"F","116","18.23"
"253",74.49,52.59,61.79,83.70,36.86,46.29,61.65,46.61,1.00,3.00,3.00,3.00,"F","116","04.08"
"XC",87.94,53.12,63.28,89.35,43.62,47.79,75.24,55.31,3.00,3.00,3.00,3.00,"F","116","10.44"
"263",78.86,54.65,64.51,85.01,40.03,47.84,70.05,48.04,1.00,3.00,3.00,3.00,"F","116","05.04"
"496",78.70,54.96,65.68,84.46,40.35,46.27,62.79,44.89,1.00,3.00,3.00,3.00,"F","116","04.04"
"589",78.08,54.22,62.91,84.93,33.62,46.50,69.13,45.88,1.00,3.00,3.00,3.00,"F","116","04.35"
"805",,,,,,,,,,,,,"F","116","02.58"
"NU",89.25,57.56,63.73,91.73,44.34,46.44,76.06,59.17,3.00,3.00,3.00,3.00,"F","116","20.49"
"C17",73.06,51.79,59.70,83.27,37.36,47.06,61.99,42.68,1.00,3.00,3.00,3.00,"F","116","03.95"
"6C8",73.22,55.99,59.99,81.46,37.55,40.67,60.54,40.93,1.00,3.00,3.00,1.00,"F","116","02.95"
"J71",85.93,,61.46,82.75,43.13,48.50,71.30,50.32,3.00,3.00,3.00,3.00,"F","116","18.73"
"I58",,,62.02,83.88,38.89,42.60,70.05,54.18,3.00,3.00,3.00,3.00,"F","116","15.93"
"06S",80.17,53.51,60.62,81.96,41.16,45.70,66.88,48.97,3.00,3.00,3.00,3.00,"F","116","06.25"
"AK39",,,,,,,,,,,,,"F","116","05.50"
"AL91",,,,,,,,,,,,,"F","116","02.19"
"89H",76.05,53.02,59.75,80.96,34.61,48.65,65.54,43.76,1.00,3.00,3.00,3.00,"F","116","08.22"
"67N",,,,,,,,,,,,,"F","116","06.68"
"FH",88.90,54.49,64.73,84.58,45.96,50.92,73.57,62.08,3.00,3.00,3.00,3.00,"F","116","19.31"
"G02",80.02,50.91,62.98,84.29,38.41,50.78,63.42,47.78,1.00,3.00,3.00,3.00,"F","116","04.94"
"I54",75.54,51.25,63.47,82.34,40.97,46.25,62.09,45.05,1.00,3.00,3.00,2.00,"F","116","03.79"
"H38",85.03,53.18,61.18,86.42,38.62,47.61,69.32,49.54,2.00,3.00,3.00,3.00,"F","116","06.29"
"J48",77.89,51.44,64.34,86.21,42.50,45.52,64.22,48.35,1.00,3.00,3.00,2.00,"F","116","04.81"
