"R010",0.00,0.00,0.00,0.00,,51.83,63.44,84.59,42.40,54.01,71.34,58.43
"IW",0.00,0.00,0.00,0.00,78.33,55.99,62.19,83.10,35.00,44.28,66.06,47.96
"EC",,,,,,,,,,,,
"HU",0.00,0.00,0.00,0.00,89.38,57.48,64.59,85.49,38.19,,77.19,53.65
"GP",0.00,0.00,0.00,0.00,71.02,52.39,61.29,84.56,,,,43.44
"HP",,,0.00,0.00,84.07,54.15,63.61,87.30,34.43,44.32,71.54,45.61
"KD",0.00,0.00,0.00,0.00,81.88,53.34,59.78,81.62,35.05,43.25,67.95,52.87
"YK",1.00,3.00,3.00,2.00,69.40,50.65,59.89,81.55,31.75,38.22,56.19,33.89
"58/058",3.00,3.00,3.00,3.00,80.31,48.36,58.49,77.27,35.74,45.11,68.36,54.70
"ER",0.00,0.00,0.00,0.00,98.68,60.67,65.87,95.67,38.71,58.41,82.05,63.26
"BL",3.00,3.00,3.00,3.00,85.34,57.45,65.17,91.79,44.00,48.04,71.35,56.27
"594",3.00,3.00,3.00,3.00,89.39,57.03,62.03,86.20,43.28,51.26,72.45,52.56
"61",0.00,0.00,0.00,0.00,80.58,52.42,62.94,87.00,35.50,45.73,69.82,49.42
"90",3.00,3.00,3.00,3.00,85.64,54.15,60.27,86.23,,,,62.21
"T4",1.00,3.00,3.00,2.00,77.14,52.95,64.64,85.76,37.74,39.58,65.21,47.81
"FX",1.00,3.00,3.00,3.00,88.62,53.21,66.38,91.56,39.71,49.18,74.60,56.11
"116",3.00,3.00,3.00,3.00,88.05,54.84,63.49,88.90,,,,58.19
"81",3.00,3.00,3.00,3.00,82.76,53.69,60.42,82.12,32.87,47.61,69.49,54.22
"L5",,,,,,,,,,,,
"6Q",1.00,3.00,3.00,1.00,74.75,53.75,63.24,85.60,33.82,46.08,62.67,48.48
"3H",1.00,3.00,3.00,3.00,87.13,57.26,64.87,91.41,35.61,43.40,75.24,56.24
"OJ",3.00,3.00,3.00,3.00,95.90,60.69,67.52,96.18,41.54,49.78,87.79,58.35
"W3",1.00,3.00,3.00,3.00,93.07,54.53,63.38,89.94,32.25,52.27,82.72,56.71
"AN",3.00,3.00,3.00,3.00,99.06,58.02,64.60,95.37,43.04,48.14,84.35,59.05
"8L",,,,,,,,,,,,
"D6",2.00,3.00,3.00,3.00,93.46,54.19,64.75,88.13,40.05,48.75,78.01,56.43
"322",1.00,1.00,1.00,1.00,67.75,58.42,64.51,81.57,30.38,42.82,52.74,35.03
"360",1.00,1.00,1.00,1.00,65.96,50.44,61.78,81.36,33.02,39.49,53.34,37.18
"216",1.00,3.00,3.00,1.00,72.21,57.15,64.05,89.10,31.11,42.98,59.55,38.60
"275",1.00,3.00,3.00,2.00,72.24,51.97,61.90,84.29,34.58,45.91,59.63,39.01
"212",1.00,3.00,3.00,1.00,70.00,,62.29,,34.50,41.67,57.46,36.59
"2I",1.00,3.00,3.00,3.00,88.04,53.41,66.49,88.35,36.24,54.34,72.53,57.70
"5Z",1.00,3.00,3.00,2.00,83.42,56.51,65.65,86.66,37.72,45.38,74.68,55.23
"311",1.00,2.00,2.00,1.00,63.62,49.23,60.40,81.61,30.52,42.97,51.61,35.17
"243",1.00,3.00,3.00,1.00,71.15,54.22,61.03,87.01,33.84,41.98,58.74,40.76
"338",1.00,3.00,3.00,1.00,64.49,51.80,61.34,77.57,31.86,39.62,48.21,33.34
"363",1.00,1.00,1.00,1.00,64.24,53.28,63.57,79.20,30.77,39.62,49.51,37.68
"2L",1.00,3.00,3.00,3.00,89.70,58.50,66.92,93.48,38.79,51.89,76.35,53.87
"7",3.00,3.00,3.00,3.00,89.90,56.28,62.93,86.49,41.95,49.60,74.95,54.37
"106",3.00,3.00,3.00,3.00,87.73,54.75,63.26,87.24,36.92,53.67,72.33,57.88
"6R",1.00,3.00,3.00,1.00,75.44,55.17,64.22,88.61,33.71,48.10,63.27,51.42
"361",1.00,2.00,1.00,1.00,63.82,,,,31.02,41.87,54.24,36.03
"215",1.00,3.00,3.00,1.00,67.79,52.31,59.34,79.00,30.70,42.39,54.57,36.75
"337",1.00,1.00,1.00,1.00,65.40,54.75,61.46,77.50,30.25,40.70,51.65,35.83
"T2",2.00,3.00,3.00,3.00,93.21,60.22,71.43,89.69,39.07,47.92,78.09,57.69
"395",1.00,2.00,1.00,1.00,67.38,57.44,65.01,81.00,31.25,37.84,53.50,36.61
"9R",1.00,3.00,3.00,1.00,76.15,54.03,62.36,85.46,37.46,47.60,66.50,47.76
"XK",3.00,3.00,3.00,3.00,86.38,53.14,62.27,87.08,43.07,53.69,73.59,55.53
"H6",3.00,2.00,2.00,2.00,78.50,58.27,62.44,89.15,34.90,45.13,70.25,50.15
"E3",3.00,3.00,3.00,3.00,84.15,53.80,62.47,84.75,41.87,48.64,71.40,48.44
"3L",1.00,3.00,3.00,3.00,80.80,54.12,63.89,87.33,38.73,47.62,69.70,50.26
"P5",2.00,3.00,3.00,3.00,73.22,52.84,60.18,79.51,36.87,45.24,62.98,46.60
"XP",3.00,3.00,3.00,3.00,86.85,55.92,64.74,90.81,43.94,53.18,69.34,50.95
"LG",3.00,3.00,3.00,3.00,94.70,57.91,65.85,89.42,47.73,55.21,85.64,63.06
"BY",3.00,3.00,3.00,3.00,85.41,,63.93,89.22,42.44,49.58,73.53,59.13
"P9",1.00,3.00,3.00,3.00,97.15,57.68,65.79,90.85,40.42,53.78,86.79,64.03
"214",1.00,3.00,3.00,2.00,71.92,58.12,62.72,83.91,34.36,42.57,59.57,37.59
"211",1.00,3.00,3.00,2.00,67.05,54.01,60.29,81.07,31.95,39.91,57.21,39.11
